17:PROTX1@nn@RNAi@nsubj@influence@dobj@expression@nn@PROTX2	DLX4	Bax
19940:PROTX1@nsubj@gene@partmod@expressing@prep_with@localisations@amod@PROTX2	CLU	sub-cellular
19942:PROTX1@prep_of@expression@nsubj@represent@dobj@stimulus@amod@PROTX2	CLU	pro-survival
19943:PROTX1@nn@)@nsubj@study@dobj@composition@prep_of@tumors@nn@PROTX2	SPP	breast
19947:PROTX1@nn@amplification@nsubj@identifies@prep_with@PROTX2	CCND1	breast cancer
19984:PROTX1@prep_between@found@prep_between@expression@nn@PROTX2	CerS2	CerS6
20003:PROTX1@prep_between@interaction@prep_between@PROTX2	MUC1-C	STAT1
20008:PROTX1@nsubj@target@prep_of@Notch@nn@PROTX2	D1	JAG1-mediated
20009:PROTX1@nsubjpass@associated@prep_with@recurrence@nn@PROTX2	JAG1	breast cancer
20010:PROTX1@prep_of@downstream@nsubj@promote@dobj@growth@nn@PROTX2	JAG1	breast cancer
20014:PROTX1@nn@genes@prep_among@found@nsubjpass@PROTX2	JAG1-regulated	D1
20015:PROTX1@nn@down-regulation@nsubj@reduces@dobj@direct@prep_to@promoter@nn@PROTX2	JAG1	D1
20017:PROTX1@nsubj@promotes@dobj@proliferation@nn@PROTX2	JAG1	D1-mediated
20018:PROTX1@nn@status@prep_between@cells@nn@PROTX2	HER2	breast cancer
20024:PROTX1@nn@)@nsubj@induces@dobj@arrest@prep_of@cells@nn@PROTX2	MR-5	breast
20037:PROTX1@amod@modules@nsubj@contained@dobj@promoters@prep_of@genes@nn@PROTX2	core	MUC1
20045:PROTX1@nn@)@nsubj@belongs@prep_to@family@nn@PROTX2	IRS-2	IRS
20047:PROTX1@prep_of@expression@nsubj@facilitates@dobj@survival@nn@PROTX2	IRS-2	breast
20054:PROTX1@prep_of@Expression@nsubj@inhibited@dobj@proliferation@prep_of@cells@nn@PROTX2	p38	MDA-MB-468
20055:PROTX1@prep_of@inhibitors@nsubj@inhibited@dobj@proliferation@prep_of@cells@nn@PROTX2	p38	breast cancer
20057:PROTX1@nsubj@mediates@prep_in@cells@nn@PROTX2	p38	breast cancer
20059:PROTX1@prep_of@Evaluation@nsubj@associated@dobj@PROTX2	breast cancer	SNP
20098:PROTX1@prep_of@Association@nsubj@variants@prep_with@PROTX2	MSH6	breast cancer
20105:PROTX1@nn@variants@nsubj@predispose@prep_to@PROTX2	MSH6	breast cancer
20108:PROTX1@nn@)@nsubj@induces@dobj@differentiation@prep_of@cells@nn@PROTX2	HRG	breast cancer
20128:PROTX1@amod@infection@dobj@(@prep_with@)@nn@PROTX2	HR-HPV	CIN
20130:PROTX1@nn@amplification@prep_between@patients@prep_with@)@nn@PROTX2	TERC	CIN
20133:PROTX1@nn@amplification@prep_between@found@prep_between@infection@nn@PROTX2	TERC	HR-HPV
20134:PROTX1@prep_of@role@prep_in@screening@nn@PROTX2	MRI	breast cancer
20165:PROTX1@nsubj@inhibits@dobj@growth@nn@PROTX2	MBP-1	breast cancer
20167:PROTX1@nsubj@inhibits@dobj@expression@prep_in@cells@nn@PROTX2	MBP-1	breast cancer
20182:PROTX1@nsubj@has@dobj@role@prep_in@apoptosis@prep_of@cells@nn@PROTX2	c-Jun	breast cancer
20187:PROTX1@amod@complex@nn@PROTX2	c-Jun/c-Fos	AP-1
20192:PROTX1@prep_involving@loop@nsubj@favors@dobj@growth@nn@PROTX2	Adora1	breast cancer
20203:PROTX1@nsubj@play@prep_in@oncogenesis@prep_of@PROTX2	Sema4C	breast cancer
20215:PROTX1@nsubj@absent@prep_in@%@prep_of@PROTX2	RhoBTB2	breast cancer
20223:PROTX1@nn@binding@nsubj@mediates@dobj@displacement@prep_of@PROTX2	PR	H2B
20224:PROTX1@nn@access@prep_of@PROTX2	NF1	PR
20227:PROTX1@nsubj@facilitates@prep_by@PROTX2	NF1	PR
20232:PROTX1@nsubj@(@dobj@PROTX2	BRCA2	Chr
20242:PROTX1@prep_of@types@nsubj@account@prep_for@%@prep_of@PROTX2	breast cancer	breast cancer
20244:PROTX1@nsubjpass@associated@prep_with@silencing@prep_of@PROTX2	UHRF1	BRCA1
20245:PROTX1@nsubjpass@related@prep_to@pathogenesis@prep_of@PROTX2	BRCA1	breast cancer
20247:PROTX1@prep_of@Overexpression@nsubj@induced@dobj@deacetylation@prep_of@PROTX2	UHRF1	H4
20248:PROTX1@nsubj@recruited@prep_to@promoter@nn@PROTX2	UHRF1	BRCA1
20287:PROTX1@nsubjpass@overexpressed@prep_in@%@prep_of@PROTX2	Her2	breast cancer
20291:PROTX1@prep_between@Association@nsubj@promoter@prep_with@polymorphism@nn@PROTX2	HIC1	MTHFD1
20318:PROTX1@amod@expression@prep_of@PROTX2	TGF-beta1-induced	Mdm2
20334:PROTX1@nn@)@nsubj@target@prep_of@PROTX2	Her2	breast cancer
20348:PROTX1@nn@registry@prep_of@institution@prep_for@patients@prep_with@PROTX2	breast cancer	breast cancer
20376:PROTX1@prep_of@significance@nsubj@promoter@prep_in@patients@nn@PROTX2	PR	breast cancer
20435:PROTX1@amod@multipolar@nsubj@spindle@dobj@formation@prep_of@PROTX2	4-Oxo-4-HPR	BUBR1
20441:PROTX1@nsubjpass@upregulated@prep_in@carcinoma@nn@PROTX2	TRPV6	breast
20447:PROTX1@prep_of@silencing@nsubj@induced@prep_in@cells@nn@PROTX2	NF1	breast cancer
20477:PROTX1@prep_of@homologues@nsubj@include@dobj@PROTX2	v-Crk	Crk
20479:PROTX1@nsubj@protein@amod@PROTX2	HBP1	c-myc-binding
20481:PROTX1@nsubjpass@identified@prep_as@protein@nsubj@interacts@prep_with@PROTX2	HBP1	c-Myc
20483:PROTX1@nsubj@binds@acomp@PROTX2	HBP1	c-Myc
20484:PROTX1@amod@binds@prep_to@terminus@prep_of@PROTX2	c-Myc	HBP1
20485:PROTX1@amod@regulation@prep_of@understanding@prep_to@adds@prep_by@PROTX2	c-Myc	HBP1
20494:PROTX1@nn@activity@prep_between@link@prep_between@signaling@nn@PROTX2	TK	Wnt/beta-cat
20499:PROTX1@amod@amplification@prep_in@PROTX2	ErbB2	breast cancer
20520:PROTX1@nn@polymorphism@prep_between@association@prep_between@PROTX2	CYP17	breast cancer
20521:PROTX1@nn@polymorphism@prep_between@association@prep_between@risk@nn@PROTX2	CYP17	breast cancer
20522:PROTX1@amod@polymorphism@prep_between@association@prep_between@risk@nn@PROTX2	CYP17	breast cancer
20525:PROTX1@nsubj@inhibited@dobj@growth@prep_of@cells@nn@PROTX2	PRL	breast cancer
20526:PROTX1@nsubj@upregulated@dobj@PROTX2	PRL	VDR
20546:PROTX1@nsubj@formed@prep_with@PROTX2	CREB	GR-dexamethasone
20551:PROTX1@prep_of@overexpression@nsubj@promote@dobj@generation@prep_of@PROTX2	Twist	breast cancer
20555:PROTX1@nn@transcriptionally@nsubj@regulates@dobj@expression@amod@PROTX2	Twist	CD24
20574:PROTX1@prep_of@effects@nsubj@mediated@prep_by@kinase@amod@PROTX2	cAMP	cAMP-dependent
20585:PROTX1@nsubj@target@prep_in@tumors@nn@PROTX2	Stat3	breast
20587:PROTX1@nn@)@nsubj@catalyzes@dobj@PROTX2	COX-2	step
20593:PROTX1@prep_of@activation@nsubj@requires@dobj@target@nn@PROTX2	Ran	mTOR
20597:PROTX1@nsubj@regulates@dobj@initiation@prep_of@gene@nn@PROTX2	NELF	BSG
20603:PROTX1@nsubj@represent@prep_for@range@prep_of@PROTX2	AhR	breast cancer
20618:PROTX1@prep_of@risk@prep_with@)@amod@PROTX2	breast cancer	odd
20634:PROTX1@nsubj@visualises@dobj@downregulation@amod@PROTX2	PET	HER2
20635:PROTX1@nn@downregulation@nsubj@biomarker@prep_for@response@prep_to@therapies@nn@PROTX2	HER2	HSP90-targeted
20646:PROTX1@nsubjpass@co-amplified@prep_with@PROTX2	ErbB2	TOP2-A.
20648:PROTX1@nsubj@mediates@dobj@uptake@prep_of@polyamine@amod@PROTX2	SLC22A16	bleomycin-A5
20660:PROTX1@nsubj@inhibits@dobj@cells@nn@PROTX2	UHRF1	breast cancer
20664:PROTX1@prep_of@role@dobj@investigate@prep_in@tumorigenesis@nn@PROTX2	BRCA1	breast
20665:PROTX1@prep_of@knockdown@nsubj@elevated@dobj@levels@prep_of@PROTX2	BRCA1	D1
20679:PROTX1@nsubj@displayed@dobj@overexpression@amod@PROTX2	SOX17	10-20-fold
20692:PROTX1@nsubj@activates@dobj@transcription@amod@PROTX2	c-myb	CXCL12
20693:PROTX1@prep_of@overexpression@nsubj@elevate@dobj@level@amod@PROTX2	c-myb	CXCL12
20694:PROTX1@nsubj@bind@prep_to@promoter@nn@PROTX2	c-myb	CXCL12
20708:PROTX1@nsubjpass@co-expressed@prep_with@PROTX2	CXCR4	POU5F1
20712:PROTX1@nn@region@prep_with@sites@prep_for@PROTX2	CXCR4	ETS1
20718:PROTX1@prep_of@activation@nsubj@induces@dobj@invasion@nn@PROTX2	H-Ras	breast
20720:PROTX1@prep_of@overexpression@nsubj@promotes@dobj@abilities@prep_of@cells@amod@PROTX2	ErbB2	H-Ras-activated
20722:PROTX1@nn@promotion@prep_of@invasion@nn@PROTX2	ErbB2-induced	H-Ras
20724:PROTX1@nsubj@)@prep_in@tumors@nn@PROTX2	AURKA	breast
20738:PROTX1@xsubj@express@prep_in@cancer@nn@PROTX2	IFN-lambdas	breast cancer
20762:PROTX1@nsubj@have@dobj@frequency@prep_of@subtype@prep_of@PROTX2	breast cancer	breast cancer
20765:PROTX1@prep_of@mutation@prep_in_addition_to@found@prep_with@PROTX2	BRCA1	breast
20769:PROTX1@prep_of@knockdown@nsubj@disrupts@dobj@transcription@prep_of@PROTX2	PRMT6	GREB1
20770:PROTX1@prep_of@knockdown@nsubj@increases@dobj@ratio@amod@PROTX2	PRMT6	exon
20782:PROTX1@nn@cells@prep_with@PROTX2	PTEN	PARP
20783:PROTX1@nn@deficiency@nsubj@causes@dobj@defect@nn@PROTX2	PTEN	HR
20797:PROTX1@nsubj@stimulates@dobj@proliferation@prep_of@cells@nn@PROTX2	TRAM-34	breast cancer
20807:PROTX1@num@polymorphism@prep_between@association@prep_between@susceptibility@nn@PROTX2	SOD2	breast cancer
20812:PROTX1@nn@polymorphism@prep_between@association@prep_between@PROTX2	CYP1A1	breast cancer
20814:PROTX1@nn@polymorphism@prep_between@association@prep_between@risk@nn@PROTX2	CYP1A1	breast cancer
20820:PROTX1@prep_of@analysis@nsubj@markers@prep_by@electrophoresis@nn@PROTX2	breast cancer	gel
20829:PROTX1@prep_of@excision@nsubj@recombinase@dobj@formation@prep_of@tumors@nn@PROTX2	c-jun	ErbB2-induced
20832:PROTX1@nsubj@rescued@dobj@phenotype@amod@PROTX2	CCL5	c-Jun-deficient
20833:PROTX1@nsubj@rescued@dobj@production@amod@PROTX2	SCF	c-Jun-deficient
20836:PROTX1@nn@polymorphism@prep_between@association@prep_between@risk@nn@PROTX2	CYP1A2-164	breast cancer
20873:PROTX1@nsubj@included@dobj@cases@nn@PROTX2	meta-analysis	breast cancer
20886:PROTX1@nn@shares@nsubj@features@prep_with@PROTX2	breast cancer	breast cancer
20893:PROTX1@nsubj@contributes@xcomp@PROTX2	HA	breast cancer
20899:PROTX1@nn@expression@prep_of@derepression@nsubj@inhibit@dobj@growth@nn@PROTX2	PTEN	breast cancer
20906:PROTX1@nn@pathway@nsubj@involves@dobj@transport@prep_of@PROTX2	EGFR-signaling	EGFR
20910:PROTX1@nn@amplification@nsubj@showed@prep_with@)@nn@PROTX2	CCND1	EGFR
20923:PROTX1@nsubj@electrophoresis@prep_in@carriers@nn@PROTX2	gel	BRCA1
20933:PROTX1@nsubj@has@dobj@effect@prep_on@cells@nn@PROTX2	HER2	breast cancer
20934:PROTX1@prep_of@downregulation@nsubj@offer@dobj@tool@prep_for@therapy@nn@PROTX2	HER2	breast cancer
20937:PROTX1@nn@family@nsubj@consists@dobj@)@nn@PROTX2	EGF	EGFR
20943:PROTX1@nsubj@has@dobj@half-life@prep_than@PROTX2	Rab6C	Rab6A
20947:PROTX1@amod@exposures@prep_with@PROTX2	PAH-related	breast cancer
20953:PROTX1@nn@polymorphism@prep_between@association@prep_between@risk@nn@PROTX2	FGFR4	breast cancer
20967:PROTX1@nsubj@correlates@prep_with@inhibition@prep_of@PROTX2	breast cancer	Stat3
20972:PROTX1@nsubj@induces@dobj@pattern@prep_of@members@prep_in@PROTX2	ERBB2	breast cancer
20973:PROTX1@nsubj@influences@dobj@prognosis@prep_of@PROTX2	ERBB2	breast cancer
20980:PROTX1@amod@model@prep_of@PROTX2	WAP-TGFalpha	breast cancer
20987:PROTX1@nsubj@regulator@prep_of@PROTX2	T-bet	GATA-3
21004:PROTX1@amod@enzymes@nsubj@affect@dobj@risk@nn@PROTX2	P450	breast cancer
21008:PROTX1@nn@carcinomas@prep_of@profiling@nsubj@categorized@dobj@carcinomas@nn@PROTX2	breast	breast
21013:PROTX1@nsubj@suggesting@prep_in@PROTX2	Six1	breast cancer
21014:PROTX1@nsubjpass@involved@prep_in@tumorigenesis@nn@PROTX2	Six1	breast
21018:PROTX1@prep_of@depletion@nsubj@regulates@prep_through@inhibition@prep_of@PROTX2	DBC1	SIRT1
21019:PROTX1@nsubj@promotes@dobj@survival@nn@PROTX2	DBC1	breast cancer
21037:PROTX1@amod@protein@prep_in@tissue@nn@PROTX2	BRCA1	breast cancer
21053:PROTX1@nn@)@nsubj@interacts@prep_with@complex@nn@PROTX2	CUL2	VHL-elongin
21067:PROTX1@nsubjpass@overexpressed@prep_in@carcinoma@nn@PROTX2	HOXB9	breast
21081:PROTX1@nn@signaling@nsubj@modulates@dobj@activity@prep_of@PROTX2	DHT	Runx2
21103:PROTX1@nsubj@inhibits@dobj@proliferation@prep_of@cells@nn@PROTX2	GPR30	breast cancer
21107:PROTX1@nsubj@downregulated@dobj@PROTX2	DES	GPR30
21110:PROTX1@nsubj@antagonizes@dobj@growth@prep_of@PROTX2	GPR30	breast cancer
21113:PROTX1@prep_of@Overexpression@nsubj@occurs@prep_in@development@nn@PROTX2	Gab2	breast cancer
21131:PROTX1@nn@women@nsubj@have@dobj@PROTX2	AA	breast cancer
21134:PROTX1@prep_of@polymorphism@xsubj@associated@prep_with@PROTX2	TP53	breast cancer
21142:PROTX1@nsubj@vectors@prep_in@cells@nn@PROTX2	pHs	breast cancer
21153:PROTX1@nn@inhibitor@nsubj@inhibited@dobj@expression@nn@PROTX2	COX-2	CYP1B1
21192:PROTX1@nn@kinase@nsubj@phosphorylates@dobj@PROTX2	Src	RUNX3
21193:PROTX1@prep_of@overexpression@nsubj@results@prep_in@phosphorylation@prep_of@PROTX2	Src	RUNX3
21196:PROTX1@prep_of@phosphorylation@nsubjpass@associated@prep_with@localization@prep_of@PROTX2	RUNX3	RUNX3
21198:PROTX1@nsubjpass@overexpressed@prep_in@carcinomas@nn@PROTX2	GATA-1	breast
21199:PROTX1@nsubj@present@prep_in@carcinomas@nn@PROTX2	GATA-1	breast
21220:PROTX1@nn@13q34)@appos@)@nn@PROTX2	RAB20	PKN1
21243:PROTX1@nsubj@drives@dobj@proliferation@nn@PROTX2	RBCK1	breast cancer
21248:PROTX1@nsubj@regulates@dobj@proliferation@prep_of@cells@nn@PROTX2	RBCK1	breast cancer
21250:PROTX1@prep_of@effects@dobj@explored@prep_on@proliferation@nn@PROTX2	FKBPL	breast cancer
21255:PROTX1@nsubj@regulates@xcomp@PROTX2	BRCA1	AREG
21256:PROTX1@nn@repression@prep_of@mechanism@dobj@identify@prep_by@PROTX2	AREG	BRCA1
21272:PROTX1@amod@overexpression@prep_in@PROTX2	HER2	breast cancer
21275:PROTX1@nn@ligands@nsubj@mediate@dobj@production@amod@PROTX2	AHR	IL6
21278:PROTX1@nn@ligand@nsubj@induce@dobj@production@amod@PROTX2	AHR	IL6
21290:PROTX1@nn@)@nsubj@factor@prep_for@PROTX2	VII	breast cancer
21316:PROTX1@nsubj@corepressor@prep_like@PROTX2	CBFA2T3-ZNF651	CBFA2T3-ZNF652
21317:PROTX1@nn@functionally@nsubj@interacts@prep_with@PROTX2	ZNF652	CBFA2T3
21322:PROTX1@prep_of@silencing@nsubj@)@prep_to@PROTX2	CD70	breast cancer
21328:PROTX1@nn@stimulation@prep_of@NIS@prep_in@cells@nn@PROTX2	tRA	breast cancer
21353:PROTX1@nsubj@disrupts@dobj@differentiation@prep_of@epithelia@nn@PROTX2	BCL6	breast
21360:PROTX1@amod@signaling@prep_of@PROTX2	prolactin-Stat5a	BCL6
21363:PROTX1@prep_of@management@nsubj@require@dobj@understanding@prep_of@heterogeneicity@nn@PROTX2	breast cancer	breast cancer
21398:PROTX1@amod@polymorphism@prep_between@association@prep_between@risk@nn@PROTX2	IL1A	breast cancer
21400:PROTX1@nsubj@gene@partmod@associated@prep_with@[p@nn@PROTX2	IL1A	breast cancer
21413:PROTX1@nsubj@exhibit@dobj@levels@nn@PROTX2	breast	SIRT3
21425:PROTX1@prep_between@Association@prep_between@PROTX2	HER2	TOP2A
21434:PROTX1@num@amplification@nsubj@define@dobj@subset@prep_of@PROTX0@nn@PROTX2	TOP2A	HER2-amplified
21437:PROTX1@amod@activation@prep_of@)@nn@PROTX2	PMA-stimulated	AP-1
21440:PROTX1@nsubj@includes@dobj@therapeutics@prep_in@inhibition@nn@PROTX2	breast cancer	ADP-ribose
21441:PROTX1@amod@amplification@prep_in@%@prep_of@PROTX2	HER2	breast cancer
21443:PROTX1@nsubj@subtype@prep_of@PROTX2	breast cancer	breast cancer
21457:PROTX1@nsubj@overexpressed@prep_in@PROTX2	Skp2	breast cancer
21460:PROTX1@nn@polymorphisms@prep_between@association@prep_between@risk@nn@PROTX2	MTHFR	breast cancer
21472:PROTX1@nn@polymorphism@prep_between@association@prep_between@risk@nn@PROTX2	BRCA2	breast cancer
21473:PROTX1@nn@polymorphism@prep_between@found@prep_between@risk@nn@PROTX2	BRCA2	breast cancer
21484:PROTX1@prep_of@phosphorylation@prep_of@inhibition@nsubj@inhibit@dobj@proliferation@nn@PROTX2	EGFR	breast cancer
21507:PROTX1@nn@polymorphism@prep_between@association@prep_between@risk@nn@PROTX2	MTHFR	breast cancer
21508:PROTX1@nn@polymorphism@prep_between@association@prep_between@risk@nn@PROTX2	MTHFR	breast cancer
21513:PROTX1@nn@polymorphism@prep_between@association@prep_between@risk@nn@PROTX2	TGFB1	breast cancer
21523:PROTX1@amod@overexpression@nsubj@affects@dobj@progression@prep_of@cells@nn@PROTX2	Pfn1	breast cancer
21534:PROTX1@nn@III@nsubj@suppressed@dobj@phosphorylation@prep_of@Akt@nn@PROTX2	CTX	JAK2
21542:PROTX1@amod@overexpression@nsubj@inhibits@dobj@activity@nn@PROTX2	c-myc	GSK-3beta
21546:PROTX1@nsubj@adhesion@prep_by@PROTX2	acts	breast cancer
21548:PROTX1@prep_of@interactions@dobj@involving@prep_with@PROTX2	HOXC11	SRC-1
21564:PROTX1@nn@patients@dobj@receptor@prep_with@benefit@nn@PROTX2	breast cancer	Chr-17
21567:PROTX1@nn@physically@nsubj@stabilizes@dobj@PROTX2	ARD1	TSC2
21568:PROTX1@prep_between@Correlation@prep_between@PROTX2	ARD1	TSC2
21571:PROTX1@prep_of@ability@nsubj@contributes@prep_to@mechanism@prep_for@PROTX2	GSPE	GSPE
21578:PROTX1@prep_of@potential@xsubj@neoadjuvant@prep_for@)@nn@PROTX2	SNP	breast cancer
21579:PROTX1@nsubj@occur@prep_in@women@prep_with@mutations@nn@PROTX2	breast cancer	BRCA1
21593:PROTX1@num@polymorphism@prep_between@association@prep_between@risk@nn@PROTX2	HSD17B1	breast cancer
21594:PROTX1@nsubj@plays@dobj@role@prep_in@development@prep_of@PROTX2	HSD17B1	breast cancer
21595:PROTX1@num@polymorphism@prep_between@association@prep_between@risk@nn@PROTX2	HSD17B1	breast cancer
21596:PROTX1@num@polymorphism@prep_between@association@prep_between@risk@nn@PROTX2	HSD17B1	breast cancer
21598:PROTX1@num@allele@nsubj@factor@prep_for@development@nn@PROTX2	HSD17B1	breast cancer
21644:PROTX1@nsubj@causes@dobj@alterations@prep_in@transport@nn@PROTX2	SNP	ABCG2-mediated
21650:PROTX1@nsubj@shown@ccomp@suggesting@prep_with@PROTX2	meta-analyses	ERBB2
21656:PROTX1@nsubj@kinase@nsubjpass@overexpressed@prep_in@tumors@nn@PROTX2	Brk	breast
21658:PROTX1@nsubj@antagonizes@dobj@activity@prep_of@family@nn@PROTX2	Brk	FoxO
21664:PROTX1@nn@)@nsubj@binds@xcomp@PROTX2	Pgrmc1	heme
21665:PROTX1@nsubj@promoted@prep_of@concentration@prep_in@cells@nn@PROTX2	Pgrmc1	MDA-MB-468
21668:PROTX1@nsubj@ligand@prep_in@manner@nn@PROTX2	Pgrmc1	Pgrmc1-specific
21672:PROTX1@nn@translocation@prep_of@PROTX2	EGF	HPSE
21688:PROTX1@prep_in_addition_to@express@dobj@PROTX2	BMI1	Mel-18
21715:PROTX1@nsubj@polymorphisms@dobj@PROTX2	CASP8	del
21721:PROTX1@nsubj@compensates@prep_by@PROTX2	JAK3	EGFR
21724:PROTX1@nn@activity@nsubj@low@prep_in@MCF-7@nn@PROTX2	PLD2	breast cancer
21726:PROTX1@nn@deficiency@nsubj@contributes@prep_to@carcinogenesis@nn@PROTX2	ATM	breast
21730:PROTX1@nsubj@prevent@dobj@tumorigenesis@nn@PROTX2	ATM	breast
21744:PROTX1@nsubj@amplifies@dobj@signaling@nn@PROTX2	Pin1	EGF
21752:PROTX1@nn@signaling@nsubj@suppresses@dobj@expression@nn@PROTX2	FGFR1	PR
21758:PROTX1@nsubj@facilitates@prep_in@line@nn@PROTX2	D1	MDA-MB-231
21766:PROTX1@nn@)@nsubj@influences@dobj@response@prep_of@cells@nn@PROTX2	Pak1	breast cancer
21774:PROTX1@amod@mutation@prep_in@PROTX2	BRCA1	breast cancer
21793:PROTX1@nn@MSP@prep_of@ability@nsubj@distinguish@prep_between@promoters@nn@PROTX2	EPHB6	EPHB6
21808:PROTX1@nsubj@suppress@prep_in@formation@prep_of@cells@nn@PROTX2	PDLIM2	breast
21815:PROTX1@prep_of@depletion@nsubj@abolished@dobj@invasion@prep_of@cells@nn@PROTX2	PLD1	breast cancer
21818:PROTX1@amod@mutation@prep_in@association@prep_with@carcinoma@prep_of@PROTX2	BRCA1	breast
21821:PROTX1@nsubj@inhibits@dobj@metastasis@nn@PROTX2	GATA3	breast cancer
21830:PROTX1@nsubj@represent@prep_for@PROTX2	OGT	breast cancer
21845:PROTX1@nn@mutations@nsubj@predispose@prep_for@)@amod@PROTX2	MUTYH	MUTYH-associated
21871:PROTX1@nsubj@have@dobj@implications@prep_for@pathogenesis@prep_of@PROTX2	UBE2Q2	breast cancer
21877:PROTX1@nn@overexpression@nsubj@defines@dobj@class@prep_of@subtype@nn@PROTX2	LRP6	breast cancer
21922:PROTX1@nsubj@influence@dobj@expression@nn@PROTX2	ZNF652	AR
21931:PROTX1@nsubj@induces@dobj@growth@prep_in@cells@nn@PROTX2	WT1	breast cancer
21937:PROTX1@nsubj@promotes@dobj@growth@prep_in@cells@nn@PROTX2	WT1	breast cancer
21938:PROTX1@nsubjpass@altered@prep_in@)@nn@PROTX2	minute	breast
21952:PROTX1@nn@)@nsubj@(@dobj@)@nn@PROTX2	ET	ET
21968:PROTX1@nn@expression@nsubj@apocrine@dobj@carcinoma@prep_of@PROTX2	EGFR	breast
21987:PROTX1@nn@Polymorphisms@prep_with@PROTX2	CYP1B1	breast cancer
21992:PROTX1@nsubj@co-amplified@prep_with@PROTX2	CTTN	core
21999:PROTX1@nsubjpass@co-amplified@prep_with@PROTX2	CTTN	CCND1
22025:PROTX1@nsubj@binds@prep_to@PROTX2	BRD7	BRCA1
22032:PROTX1@prep_of@Depletion@nsubj@prevented@dobj@recruitment@prep_of@PROTX2	BRD7	BRCA1
22042:PROTX1@prep_of@Knockdown@nsubj@suppressed@dobj@growth@prep_of@cells@nn@PROTX2	GALNT6	breast cancer
22043:PROTX1@nn@protein@nsubj@glycosylate@dobj@)@nn@PROTX2	GALNT6	MUC1
22060:PROTX1@nsubjpass@identified@prep_in@lesions@nn@PROTX2	HER2	breast
22090:PROTX1@nn@Mutation@prep_with@PROTX2	NOD2	breast cancer
22098:PROTX1@amod@amplification@prep_in@PROTX2	HER2	breast cancer
22136:PROTX1@nsubj@dependent@prep_on@expression@amod@PROTX2	breast cancer	TCL1B
22142:PROTX1@nsubj@cooperated@prep_with@PROTX2	Dub3	H-Ras
22143:PROTX1@amod@overexpression@nsubj@responsible@prep_for@level@prep_of@PROTX2	Dub3	Cdc25A
22161:PROTX1@nn@CSCs@nsubj@overexpress@dobj@)@amod@PROTX2	breast	breast cancer
22180:PROTX1@nsubj@affect@dobj@transcription@amod@PROTX2	pre-miR-20b	VEGF
22195:PROTX1@nsubj@inhibits@dobj@carcinogenesis@nn@PROTX2	ZIP	breast
22201:PROTX1@amod@outcomes@prep_of@PROTX2	Long-term	breast cancer
22203:PROTX1@amod@proto-oncogene@prep_in@PROTX2	c-ABL	breast cancer
22205:PROTX1@prep_of@inhibition@nsubj@resulted@prep_by@)@nn@PROTX2	c-ABL	TAM
22207:PROTX1@nsubj@regulates@dobj@response@infmod@PROTX2	c-ABL	TAM
22208:PROTX1@prep_of@down-regulation@nsubj@led@prep_in@plates@nn@PROTX2	RPL41	agar
22213:PROTX1@nn@)@nsubj@showed@prep_for@PROTX2	(H-Tyr-Ile-Glu-Gly-Leu-Gln-Ala-Leu-Leu-Arg-Asp-Gln-NH(	Id1
22214:PROTX1@nsubjpass@involved@prep_in@cells@nn@PROTX2	DEC1	breast cancer
22219:PROTX1@nsubj@has@dobj@effect@amod@PROTX2	DEC1	pro-apoptotic
22227:PROTX1@nn@levels@nsubj@modulate@dobj@function@amod@PROTX2	CypB	PRL-induced
22229:PROTX1@nn@receptor@nsubj@tyrosine@dobj@PROTX2	Met	breast cancer
22231:PROTX1@nn@kinase@prep_between@link@prep_between@PROTX2	Met	breast cancer
22233:PROTX1@nsubj@comprise@dobj@loop@prep_in@cells@nn@PROTX2	Her2	breast cancer
22239:PROTX1@nn@status@nsubjpass@analyzed@prep_with@PROTX2	PTEN	breast cancer
22241:PROTX1@prep_of@hypermethylation@nsubj@contribute@prep_to@progression@prep_of@PROTX2	PTEN	breast cancer
22245:PROTX1@nsubjpass@applied@prep_in@field@prep_of@research@nn@PROTX2	RT-PCR	breast-cancer
22246:PROTX1@prep_of@Characteristics@nsubj@diagnosed@prep_in@carriers@nn@PROTX2	breast cancer	BRCA1
22250:PROTX1@nsubj@over-expressed@prep_in@%@prep_of@PROTX2	HER2	breast cancer
22283:PROTX1@nsubj@display@dobj@formation@amod@PROTX2	FLNA	BRCA1
22288:PROTX1@nn@)@nsubj@paralog@prep_of@PROTX2	CTCFL	CTCF
22297:PROTX1@nsubj@has@dobj@value@prep_in@PROTX2	EZH2	breast cancer
22362:PROTX1@amod@phosphorylation@nsubjpass@associated@prep_with@activity@prep_of@PROTX2	ErbB2	Src
22369:PROTX1@nn@)@prep_such_as@)@nn@PROTX2	SNP	breast cancer
22370:PROTX1@acomp@identified@acomp@PROTX2	rs1982073-TGFB1	rs1799782-XRCC1
22378:PROTX1@nn@A>G@appos@)@nn@PROTX2	SNP	Gly->Gly
22400:PROTX1@nsubj@mediate@prep_on@cells@nn@PROTX2	TACC2	breast cancer
22414:PROTX1@nsubj@showed@dobj@expression@nn@PROTX2	breast	HER2-protein
22418:PROTX1@nsubj@regulates@dobj@transcription@prep_through@)@nn@PROTX2	FGF2	FGF2
22419:PROTX1@nn@)@nsubj@increased@dobj@levels@nn@PROTX2	FGF2	Runx2
22422:PROTX1@nsubj@stimulates@dobj@transcription@prep_in@cells@nn@PROTX2	FGF2	breast cancer
